"","age","IAR"
"95",47.16927851,8046.399003
"97",47.79729561,5996.284225
"99",48.62835003,13966.68738
"101",49.32974824,13100.79273
"103",49.57442204,18720.16535
"105",50.24654304,22002.71422
"107",50.86395712,12170.38242
"109",52.06165877,7138.563234
"111",53.29943128,2658.043512
"113",55.26669291,4578.010085
"115",55.80137164,7152.578743
"117",57.47523098,4465.854521
"119",58.15218207,5142.765605
"121",58.77291576,5064.005014
"123",59.99798641,1659.164313
"125",60.701875,2989.734698
"130",62.1760645,17010.22946
"131",62.33457631,3615.158906
"133",62.63480396,18794.08991
"135",63.18382167,5882.515383
"139",63.70974494,7592.372863
"143",64.11017742,23795.08514
