"","age","length"
"1",42.98972985,179.844645341406
"2",43.45015797,194.217405484623
"3",44.8164011,174.895832968688
"4",46.32954921,180.737518783202
"5",47.13592036,163.072273975809
"6",47.41637702,155.746589946604
"7",48.09956864,155.505067394578
"8",48.81507051,164.102205741263
"9",49.64280796,156.427067742685
"10",49.86940481,178.419199491059
"11",50.46884488,177.493364972055
"12",50.75238298,156.786476561938
"13",51.53876596,157.354444813153
"14",52.03108401,157.465934032034
"15",52.38298103,145.443274864932
"16",53.08128613,183.842413351982
"17",53.43768519,163.609570762139
"18",54.74146697,140.270105824885
"19",55.03230683,153.892118466534
"20",56.53045333,151.234712446032
"21",57.33792586,131.519026632992
"22",61.03829654,147.663259460246
