"","x"
"1","1/2 concave root"
"2","1/2 concave root flared blades"
"3","1/2 concave root wide base"
"4","1/2 dome root triangle"
"5","1/2 root cone"
"6","1/2 straight root"
"7","1/2 straight root convex triangle"
"8","1/2 total root cone"
"9","1/2 total root curved convex cone"
"10","1/4 dome root concave triangle"
"11","1/4 dome root cone"
"12","1/4 dome root cone no cap"
"13","1/4 dome root convex cone"
"14","1/4 dome root curved cone"
"15","1/4 dome straight blades"
"16","1/4 straight root"
"17","1/4 straight root cone"
"18","1/4 total root cone"
"19","1/4 total root cone no cap"
"20","3/4 total funnel root"
"21","3/4 total root cone"
"22","Arrowhead triangle"
"23","Asymmetric 1/2 vase root"
"24","Bicuspid long cone"
"25","Cap tip arrow triangle"
"26","Cinched top cone"
"27","Convex 1/2 dome root"
"28","Convex 1/2 root"
"29","Convex 1/2 root flared blades"
"30","Convex 1/2 rough straight root"
"31","Convex 3/4 root"
"32","Convex cone 1/2 dome root"
"33","Convex cone total root"
"34","Convex rootless cone"
"35","Convex triangle 1/2 convex root"
"36","Convex triangle 1/2 funnel root"
"37","Convex triangle 1/2 total root"
"38","Convex triangle 1/2 vase root"
"39","convex triangle 3/4 dome root"
"40","Convex triangle 3/4 funnel root"
"41","Convex triangle full convex root"
"42","Curl curved 1/2 total root triangle"
"43","Curl curved triangle 1/4 total root"
"44","Curl-curved triangle 1/2 convex root"
"45","Curved 1/2 dome root triangle"
"46","Curved 1/2 total funnel root triangle"
"47","Curved 2/3 convex root triangle"
"48","Curved cone 1/2 total root"
"49","Curved cone 1/4 total root"
"50","Curved convex cone distinct cap"
"51","Curved distinct cap flared base"
"52","Curved full straight root"
"53","Curved funnel root cone"
"54","Curved long 1/4 dome root"
"55","Curved medium cone convex root"
"56","Curved medium cone dome root"
"57","Curved square 1/2 total root cone"
"58","Curved triangle 1/2 convex root"
"59","Curved triangle 3/4 concave root"
"60","Curved triangle full concave root"
"61","Curved two part curved tip"
"62","Domal bi-cusp"
"63","Elongated 1/2 straight root"
"64","Elongated 1/2 total root cone"
"65","Elongated 1/2 total root cone no cap"
"66","Elongated convex root cone"
"67","Elongated side-curved bladed cone"
"68","Elongated straight bladed cone"
"69","Elongated two part medium tip"
"70","Elongated two part squat tip"
"71","Extra flared base triangle"
"72","Extra-long 1/4 total root cone"
"73","Extra-long 3/4 total funnel bladed cone"
"74","Extra-long curved two part straight tip"
"75","Extra-long spiraling striation"
"76","Extra-long straight cone"
"77","Fingernail"
"78","Flared base 1/4 dome root"
"79","Flared base 3/4 funnel root"
"80","Flared base narrow curve horn"
"81","flat 1/2 straight root flared blades"
"82","Flat full root"
"83","Full funnel root funnel triangle"
"84","Full root convex triangle"
"85","Full root flared blades"
"86","full straight root"
"87","Full-length funnel root cone"
"88","Full-length straight root cone"
"89","Funnel root cone"
"90","Funnel triangle 1/2 convex root"
"91","Generic cone"
"92","Generic Triangle"
"93","Horseshoe"
"94","Jaw"
"95","Large blades 1/2 convex root triangle"
"96","Lipped cone"
"97","Long 1/2 dome root triangle"
"98","Long 1/4 dome root"
"99","Long 1/4 total root"
"100","Long 1/4 total root cone"
"101","Long 3/4 straight root"
"102","Long cone 1/2 convex root"
"103","Long convex triangle"
"104","Long convex triangle 3/4 concave root"
"105","Long convex triangle total funnel root"
"106","Long curved cone 1/2 total root"
"107","Long curved two part bulbous tip"
"108","Long deep 1/4 total root"
"109","Long dimpled cone"
"110","Long full total root"
"111","Long middle ridge triangle"
"112","Long minor curved cone"
"113","Long minor recurved cone"
"114","Long minor top curved cone"
"115","Long rootless cone"
"116","Long spiraling striation"
"117","Long straight striated cone"
"118","Long striated cone curved tip"
"119","Long striated curved flared base cone"
"120","Long top curved cone 1/2 straight root"
"121","Long wine bottle cone"
"122","Major curve right angle cone"
"123","Major curve thin cone"
"124","Major curve thin cone flared base"
"125","Major curve tip-only two part cone"
"126","Medium 3/4 funnel root"
"127","Medium 3/4 straight root"
"128","Medium cap tip cone flared base"
"129","Medium curved bladed cone"
"130","Medium curved cone 1/2 straight root"
"131","Medium curved rootless cone"
"132","Medium curved two part straight tip"
"133","Medium rootless cone"
"134","Medium straight bladed cone"
"135","Medium straight cone flared base"
"136","Medium tri-cusp"
"137","Medium triangle 3/4 concave root"
"138","Middle barb cone total root"
"139","Minor curve bottom right angle cone"
"140","Pot-bellied squat triangle"
"141","Right triangle concave root"
"142","Rootless long triangle"
"143","Rootless medium triangle"
"144","Rounded convex triangle"
"145","Slinky christmas tree"
"146","Small cone flared skirt"
"147","Squat 1/2 straight root cone"
"148","Squat Concave Root"
"149","Squat convex cone 1/4 total root"
"150","squat convex triangle"
"151","Squat convex triangle dome root"
"152","Squat curved convex cone"
"153","Squat curved rootless cone"
"154","squat dome root cone"
"155","Squat multi-cusp"
"156","Squat rootless cone"
"157","Squat straight bladed cone"
"158","Squat total root"
"159","Squat triangle 1/2 dome root"
"160","Straight dome root"
"161","Straight triangle 1/2 funnel root"
"162","Straight triangle 1/2 total root"
"163","Straight triangle 3/4 concave root"
"164","Thin triangle full straight root"
"165","Total funnel root curved cone"
"166","total root curved cone"
"167","Tucked base cone"
"168","Tucked base convex cone"
"169","Two part convex squat curved tip"
"170","Two part convex squat tip"
"171","Two part funnel cone"
"172","Two part squat triangle"
"173","Two part straight medium tip"
"174","Two part straight squat tip"
"175","Two part triangle"
"176","Two part triangular cone"
"177","Wedge triangle 3/4 total root"
"178","Wide base curved triangle"
